ID,Nombre del negocio,Ciudad/departamento,Tipo de negocio,WhatsApp/teléfono,Facebook/Instagram/TikTok/web,Dueño o encargado,Señal de demanda,Problema probable,Prioridad A/B/C,Fuente del dato,Estado,Observación
M16-001,Barberia Chirino,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica con horario 10:00-19:00 y operador Chirino en OpenStreetMap,Responder horarios ubicacion precios y disponibilidad por WhatsApp,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/484989462,Pendiente,Prospecto nuevo; no aparece en prospectos previos de Comayagua.
M16-002,Barberia Rapha,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en zona Miraflores de Tegucigalpa,Canalizar consultas de ubicacion horarios servicios y citas,C,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421155902,Pendiente,Contacto no encontrado en la fuente consultada.
M16-003,Barberia Dimas Jr.,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia sobre carretera Tegucigalpa-Talanga,Responder preguntas repetidas y ordenar solicitudes de cita,C,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/485043254,Pendiente,Contacto no encontrado en la fuente consultada.
M16-004,Barberia el Master,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en Paseo Villa Olimpica,Responder horarios servicios precios y disponibilidad,B,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421147534,Pendiente,Contacto no encontrado en la fuente consultada.
M16-005,Barberia Lasue,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en Avenida Principal El Hato,Atender consultas por ubicacion horarios y reservas,C,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421287119,Pendiente,Contacto no encontrado en la fuente consultada.
M16-006,La Barberia,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en Bulevar Centroamerica,Convertir mensajes de redes o llamadas en citas ordenadas,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4210868823,Pendiente,No duplicar con La Barberia de Ney de Comayagua; es otro registro y ciudad.
M16-007,Lomas del Bulevar,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de negocio beauty en Bulevar Morazan,Ordenar citas por servicio y responder disponibilidad,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3106167281,Pendiente,Contacto no encontrado en la fuente consultada.
M16-008,Esther Sala de Belleza,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de salon de belleza en Tegucigalpa,Responder servicios horarios ubicacion y agendamiento,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3121133276,Pendiente,Contacto no encontrado en la fuente consultada.
M16-009,Girl Sensation,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de salon beauty en Tegucigalpa,Ordenar agenda por servicios y consultas frecuentes,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3121133277,Pendiente,Contacto no encontrado en la fuente consultada.
M16-010,Los Profesionales,Tegucigalpa / Francisco Morazan,Peluqueria / hairdresser,No encontrado,No encontrado,No encontrado,Ficha publica de hairdresser en Tegucigalpa,Responder disponibilidad horarios y ubicacion,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3153483431,Pendiente,Contacto no encontrado en la fuente consultada.
M16-011,Wow Hair Beauty Salon,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de beauty salon en Calle Republica de Ecuador,Ordenar consultas de servicios horarios precios y citas,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3155564869,Pendiente,Contacto no encontrado en la fuente consultada.
M16-012,Espacio Vital,Tegucigalpa / Francisco Morazan,Beauty / spa,No encontrado,No encontrado,No encontrado,Ficha publica con horario Mo-Sa 10:00-18:00 e internet_access wlan,Responder horarios servicios de belleza y agendar por disponibilidad,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4209566862,Pendiente,Contacto no encontrado en la fuente consultada.
M16-013,Star Cuts,Tegucigalpa / Francisco Morazan,Barberia / hairdresser,No encontrado,No encontrado,No encontrado,Ficha publica de hairdresser con nombre comercial,Responder precios horarios ubicacion y reservas,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4209766354,Pendiente,Contacto no encontrado en la fuente consultada.
M16-014,Lucy's Beauty Salon,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de beauty salon en Calle Froylan Turcios,Ordenar citas por servicio y consultas de disponibilidad,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4210910584,Pendiente,Contacto no encontrado en la fuente consultada.
M16-015,Yesenia's,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica con horario Mo-Sa 07:00-17:30,Responder horario temprano disponibilidad servicios y citas,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/13235718636,Pendiente,Contacto no encontrado en la fuente consultada.
M16-016,The Barber Shop,San Pedro Sula / Cortes,Barberia unisex,No encontrado,https://www.facebook.com/TheBarberShopUnisex,No encontrado,Ficha publica con Facebook visible en OpenStreetMap,Convertir mensajes de Facebook en citas por WhatsApp o demo,A,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/7741332033,Pendiente,Unico prospecto nuevo con red social visible en la consulta.
M16-017,Billy's Barber Shop,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barber shop en Avenida Juan Pablo II,Responder disponibilidad horarios precios y ubicacion,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420836251,Pendiente,Contacto no encontrado en la fuente consultada.
M16-018,Barberia Eddie,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica con horario Mo-Sa 08:00-20:00 y pago en efectivo,Atender consultas de horario extendido y organizar citas,A,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/669256269,Pendiente,Contacto no encontrado en la fuente consultada.
M16-019,Don Barbero,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de hairdresser con nombre comercial,Responder ubicacion servicios horarios y disponibilidad,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4232544191,Pendiente,Contacto no encontrado en la fuente consultada.
M16-020,Barberia Navas,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en Blvd. del Este,Ordenar citas y consultas frecuentes de servicios,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420349393,Pendiente,Contacto no encontrado en la fuente consultada.
M16-021,Barberia Alfa Omega,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en 14 Avenida,Responder horarios precios ubicacion y citas,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420355305,Pendiente,Contacto no encontrado en la fuente consultada.
M16-022,Barberia y Sala de Belleza,San Pedro Sula / Cortes,Barberia y salon,No encontrado,No encontrado,No encontrado,Ficha publica combinada de barberia y sala de belleza en 11 Avenida SE,Ordenar agenda por tipo de servicio y responsable,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420355309,Pendiente,Contacto no encontrado en la fuente consultada.
M16-023,Barberia Shalom,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en 7 Calle SE,Responder solicitudes de cita horarios y ubicacion,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/420385092,Pendiente,Contacto no encontrado en la fuente consultada.
M16-024,Barberia Estilos,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en 15 Calle SE,Atender preguntas frecuentes y ordenar citas,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4203164815,Pendiente,Contacto no encontrado en la fuente consultada.
M16-025,Lopez Barbershop,San Pedro Sula / Cortes,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barbershop en San Pedro Sula,Responder ubicacion horarios servicios y reservas,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/6571967487,Pendiente,Contacto no encontrado en la fuente consultada.
